"","TLD","Alexa #","Domain #","Start Date","ASCII","Whois Server","Registry"
"1","com","498264","126482101","1985-01-01","com","whois.verisign-grs.com","registry"
"2","net","51801","15579029","1985-01-01","net","whois.verisign-grs.com","registry"
"3","org","44385","10848327","1985-01-01","org","whois.pir.org","registry"
"4","xyz","3337","6223341","2014-02-06","xyz","whois.nic.xyz","registry"
"5","info","9634","5474129","2001-06-26","info","whois.afilias.net","registry"
"6","top","853","2747833","2014-07-24","top","whois.nic.top","registry"
"7","biz","3365","2131125","2001-06-26","biz","whois.biz","registry"
"8","wang","39","1059526","2013-12-12","wang","whois.gtld.knet.cn","registry"
"9","win","77","967118","2015-02-05","win","whois.nic.win","registry"
"10","club","1042","773761","2014-01-09","club","whois.nic.club","registry"
"11","mobi","752","691551","2005-10-17","mobi","whois.dotmobiregistry.net","registry"
"12","site","413","434540","2015-03-06","site","whois.centralnic.com","registry"
"13","pro","732","377070","2002-05-08","pro","whois.afilias.net","registry"
"14","bid","63","374749","2014-02-13","bid","whois.nic.bid","registry"
"15","link","306","335603","2014-01-09","link","whois.uniregistry.net","registry"
"16","online","618","322337","2015-03-06","online","whois.centralnic.com","registry"
"17","red","75","309086","2014-01-16","red","whois.afilias.net","registry"
"18","ren","8","307595","2014-02-28","ren","whois.nic.ren","registry"
"19","vip","21","287495","2015-07-30","vip","whois-dub.mm-registry.com","registry"
"20","网址","NA","276319","2014-03-13","xn--ses554g","whois.registry.knet.cn","registry"
"21","loan","2","248595","2015-02-05","loan","whois.nic.loan","registry"
"22","science","17","229119","2014-10-23","science","whois.nic.science","registry"
"23","date","26","191539","2015-02-05","date","whois.nic.date","registry"
"24","click","161","182940","2014-08-15","click","whois.uniregistry.net","registry"
"25","website","232","163570","2014-05-22","website","whois.nic.website","registry"
"26","space","262","156406","2014-05-22","space","whois.nic.space","registry"
"27","tech","204","151238","2015-03-12","tech","whois.nic.tech","registry"
"28","xin","6","123024","2015-02-19","xin","whois.afilias-srs.net","registry"
"29","kim","18","116203","2013-12-19","kim","whois.afilias.net","registry"
"30","cat","341","102117","2005-12-19","cat","whois.cat","registry"
"31","xxx","431","99834","2011-04-15","xxx","whois.nic.xxx","registry"
"32","lol","38","96892","2015-04-23","lol","whois.uniregistry.net","registry"
"33","review","16","95897","2015-02-05","review","whois.nic.review","registry"
"34","trade","37","91709","2014-03-06","trade","whois.nic.trade","registry"
"35","work","90","88418","2014-08-18","work","whois-dub.mm-registry.com","registry"
"36","racing","2","82353","2015-03-26","racing","whois.nic.racing","registry"
"37","news","177","77576","2015-03-12","news","whois.rightside.co","registry"
"38","nyc","30","76028","2014-03-13","nyc","whois.nic.nyc","registry"
"39","download","111","73536","2015-02-05","download","whois.nic.download","registry"
"40","realtor","2","71559","2014-07-24","realtor","whois.nic.realtor","registry"
"41","party","13","69774","2014-10-23","party","whois.nic.party","registry"
"42","rocks","90","67283","2014-01-16","rocks","whois.unitedtld.com","registry"
"43","london","21","62772","2014-02-13","london","whois-lon.mm-registry.com","registry"
"44","faith","6","62610","2015-02-05","faith","whois.nic.faith","registry"
"45","cloud","27","60032","2015-06-18","cloud","whois.nic.cloud","registry"
"46","one","62","59479","2014-12-18","one","whois.nic.one","registry"
"47","pub","21","58482","2014-02-20","pub","whois.unitedtld.com","registry"
"48","guru","142","58250","2013-10-31","guru","whois.donuts.co","registry"
"49","webcam","25","57151","2014-03-06","webcam","whois.nic.webcam","registry"
"50","berlin","11","56810","2013-12-19","berlin","whois.nic.berlin","registry"
"51","live","50","53467","2015-06-25","live","whois.rightside.co","registry"
"52","email","27","53042","2013-12-19","email","whois.donuts.co","registry"
"53","today","168","51247","2013-11-13","today","whois.donuts.co","registry"
"54","help","22","50963","2014-08-15","help","whois.uniregistry.net","registry"
"55","公司","NA","50526","2014-01-09","xn--55qx5d","whois.ngtld.cn","registry"
"56","solutions","26","50341","2013-12-19","solutions","whois.donuts.co","registry"
"57","mom","NA","49797","2015-08-13","mom","whois.uniregistry.net","registry"
"58","ovh","54","49752","2014-05-01","ovh","whois-ovh.nic.fr","registry"
"59","tokyo","161","49337","2014-01-16","tokyo","whois.nic.tokyo","registry"
"60","accountant","1","48785","2015-02-05","accountant","whois.nic.accountant","registry"
"61","photography","12","48375","2013-11-13","photography","whois.donuts.co","registry"
"62","jobs","143","46366","2005-09-08","jobs","jobswhois.verisign-grs.com","registry"
"63","company","38","44953","2013-12-12","company","whois.donuts.co","registry"
"64","design","24","43212","2014-12-18","design","whois.nic.design","registry"
"65","cricket","2","41546","2014-11-13","cricket","whois.nic.cricket","registry"
"66","blue","42","41197","2014-01-23","blue","whois.afilias.net","registry"
"67","property","2","40895","2014-08-15","property","whois.uniregistry.net","registry"
"68","pink","32","40140","2013-12-19","pink","whois.afilias.net","registry"
"69","ninja","69","39051","2013-12-19","ninja","whois.unitedtld.com","registry"
"70","life","86","38781","2014-05-08","life","whois.donuts.co","registry"
"71","store","7","37409","2016-02-11","store","whois.nic.store","registry"
"72","press","88","34603","2014-05-22","press","whois.nic.press","registry"
"73","tips","56","33181","2013-11-13","tips","whois.donuts.co","registry"
"74","网络","1","32062","2014-01-09","xn--io0a7i","whois.ngtld.cn","registry"
"75","世界","1","31716","2014-03-06","xn--rhqv96g","","registry"
"76","pics","77","31712","2014-01-09","pics","whois.uniregistry.net","registry"
"77","bayern","3","31130","2014-03-13","bayern","whois-dub.mm-registry.com","registry"
"78","center","44","30580","2013-12-12","center","whois.donuts.co","registry"
"79","city","33","30154","2014-07-03","city","whois.donuts.co","registry"
"80","world","32","29853","2014-09-11","world","whois.donuts.co","registry"
"81","photo","12","27334","2014-01-16","photo","whois.uniregistry.net","registry"
"82","media","100","26901","2014-04-03","media","whois.donuts.co","registry"
"83","expert","26","26811","2014-01-16","expert","whois.donuts.co","registry"
"84","gift","10","26811","2014-01-09","gift","whois.uniregistry.net","registry"
"85","agency","22","26252","2014-01-09","agency","whois.donuts.co","registry"
"86","bet","7","25771","2015-07-16","bet","whois.afilias.net","registry"
"87","flowers","1","25727","2014-12-18","flowers","whois.uniregistry.net","registry"
"88","amsterdam","5","25641","2014-11-20","amsterdam","whois.nic.amsterdam","registry"
